Ycoordinate	Xcoordinate	Copresence	Coabund	HabitatClass	CanopyClosure	LULCChange	HeavilyManagedPts cat1970	LogEdgeDistance
4609904	700531	1	2	2	3	4	0	1	2.4969
4605382	701560	1	3	1	2	3	0	6	1.2553
4609833	701836	1	1	1	2	3	0	6	1.2553
4604089	703439	1	4	2	3	4	0	1	1.7482
4607889	706907	1	4	2	3	4	0	1	1.4914
4613584	700990	0	0	1	1	2	0	1	1.5185
4605905	704777	1	1	1	2	3	0	6	1.1461
4615646	705011	1	3	1	2	4	0	5	1.3010
4609078	708559	1	4	2	3	3	0	6	1.4472
4614389	705466	1	2	1	3	4	0	5	1.0000
4606635	699240	0	0	1	1	3	0	1	1.2041
4606536	699148	1	2	1	1	3	0	4	1.6990
4605509	707012	0	0	1	1	3	0	6	1.0792
4607044	700345	0	0	1	1	4	0	4	0.8451
4605855	707743	1	3	1	2	3	0	6	1.0792
4605891	708005	0	0	4	2	3	0	6	1.5798
4608414	706047	1	2	2	3	1	0	1	1.9912
4605739	703970	1	3	2	3	4	0	5	1.2041
4605733	700252	1	4	1	2	4	0	1	2.5623
4606043	700473	1	4	2	3	4	0	1	2.0128
4610397	707690	1	2	4	0	2	0	5	0.4771
4606203	700100	0	0	2	1	2	0	3	1.6128
4612974	707742	1	2	2	1	4	0	5	1.9085
4606179	702456	1	3	1	2	2	0	4	1.3010
4607613	699860	1	4	2	2	4	0	1	1.7924
4607518	701920	1	4	4	2	5	0	4	1.8451
4607638	701978	1	4	2	2	5	0	1	2.0374
4608109	702373	0	0	1	1	3	0	6	1.9731
4605690	700190	1	2	1	2	3	0	6	1.2304
4606003	699985	0	0	2	3	4	0	6	2.2041
4605653	700754	1	3	2	3	4	0	1	2.2878
4610698	707283	1	2	3	3	4	0	1	2.5514
4609853	704164	1	3	2	3	1	0	1	2.9269
4610809	707769	0	0	2	3	4	0	5	2.1553
4609884	706946	1	3	1	2	3	0	5	1.0792
4612892	705697	1	3	2	2	4	0	3	1.6128
4612228	707383	0	0	2	1	1	0	1	1.6628
4612236	707405	1	3	4	1	4	0	3	1.6128
4607081	703717	1	2	2	3	1	0	1	2.0607
4609783	700526	1	4	2	3	4	0	1	3.4024
4605810	704046	1	4	2	3	1	0	1	2.1875
4605756	704073	0	0	2	3	4	0	1	2.4265
4610461	700178	1	2	2	2	4	0	6	2.4048
4610177	700837	1	3	3	3	1	0	1	2.8745
4611806	700009	0	0	1	2	3	0	6	1.0414
4613289	702631	1	1	2	3	4	0	1	1.4150
4613581	702437	0	0	2	3	4	0	1	2.2625
4608487	701309	1	2	4	0	3	0	6	1.5911
4609132	701798	1	2	2	1	4	0	1	0.8451
4608944	702358	0	0	2	3	1	0	1	3.0273
4613115	699982	1	3	4	0	3	0	6	1.1761
4613698	704053	0	0	2	2	1	0	1	3.0711
4607138	701984	1	4	3	3	4	0	1	2.8021
4607031	701413	1	5	2	3	4	0	5	1.9494
4607002	702880	1	3	3	3	1	0	1	2.6821
4612766	702890	0	0	2	2	1	0	1	2.0043
4612089	704379	1	2	1	1	3	0	6	0.6990
4613077	703696	0	0	2	3	1	0	1	2.5198
4612698	701926	0	0	3	2	4	0	1	2.5105
4612760	701851	0	0	4	1	1	0	1	1.0000
4613757	704548	0	0	2	2	4	0	5	3.2898
4612683	701386	1	3	2	2	1	0	1	2.8627
4611764	702526	0	0	2	1	1	0	1	2.7846
4606884	702831	1	3	4	3	4	0	4	1.9085
4607171	702992	1	3	2	2	1	0	1	1.9685
4607358	702936	1	4	1	3	2	0	1	1.7243
4607377	702884	1	3	1	2	2	0	4	1.0414
4608835	702571	0	0	2	3	1	0	1	2.6946
4609205	700839	1	4	2	3	1	0	1	2.8189
4610576	701422	0	0	4	0	3	0	6	2.0212
4609650	701078	0	0	4	0	3	0	6	1.3979
